orthomosaic,total_annotations,num_species,top_species
OM_001,191,5,BLSKA
OM_002,986,5,ROTEA
OM_003,1373,6,ROTEA
OM_004,589,8,ROTEA
OM_005,223,5,BRPEC
OM_006,1675,5,ROTEA
OM_007,1417,5,ROTEA
OM_008,275,8,LAGUA
OM_009,991,7,ROTEA
OM_010,1108,6,ROTEA
OM_011,909,8,ROTEA
OM_012,297,5,BRPEC
OM_013,500,8,BRPEC
OM_014,422,5,BRPEC
OM_015,484,6,BRPEC
OM_016,171,4,BRPEC
OM_017,184,5,BRPEC
OM_018,238,9,BRPEC
OM_019,418,17,GREGC
OM_020,53,4,BRPEC
OM_021,810,8,SATEA
OM_022,1995,7,ROTEA
OM_023,675,6,ROTEA
OM_024,18,5,LAGUA
